"ParkName","UnitCode","ParkType","Region","State","Year","Month","RecreationVisits","NonRecreationVisits","RecreationHours","NonRecreationHours","ConcessionerLodging","ConcessionerCamping","TentCampers","RVCampers","Backcountry","NonRecreationOvernightStays","MiscellaneousOvernightStays","ParkNameTotal","UnitCodeTotal","ParkTypeTotal","RegionTotal","StateTotal","YearTotal","RecreationVisitsTotal","NonRecreationVisitsTotal","RecreationHoursTotal","NonRecreationHoursTotal","ConcessionerLodgingTotal","ConcessionerCampingTotal","TentCampersTotal","RVCampersTotal","BackcountryTotal","NonRecreationOvernightStaysTotal","MiscellaneousOvernightStaysTotal"
"Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,8,"4,276","75","57,216","75","0","0","492","0","0","75","776","Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,"54,281","1,476","676,371","17,712","0","0","5,342","0","0","1,476","5,524"
"Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,9,"176","75","4,008","75","0","0","158","0","0","75","176","Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,"54,281","1,476","676,371","17,712","0","0","5,342","0","0","1,476","5,524"
"Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,10,"233","75","4,179","75","0","0","158","0","0","75","176","Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,"54,281","1,476","676,371","17,712","0","0","5,342","0","0","1,476","5,524"
"Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,11,"5,020","129","62,808","129","0","0","214","0","0","129","608","Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,"54,281","1,476","676,371","17,712","0","0","5,342","0","0","1,476","5,524"
"Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,12,"5,000","138","62,400","138","0","0","200","0","0","138","600","Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,"54,281","1,476","676,371","17,712","0","0","5,342","0","0","1,476","5,524"
"Everglades NP","EVER","National Park","Southeast ","FL",2017,1,"194,200","474","598,903","474","0","0","1,675","3,374","3,061","0","1,266","Everglades NP","EVER","National Park","Southeast ","FL",2017,"1,018,557","6,766","3,718,824","30,449","0","0","5,238","8,137","17,393","0","3,981"
"Everglades NP","EVER","National Park","Southeast ","FL",2017,2,"120,646","1,312","659,353","1,312","0","0","1,572","2,786","6,386","0","1,250","Everglades NP","EVER","National Park","Southeast ","FL",2017,"1,018,557","6,766","3,718,824","30,449","0","0","5,238","8,137","17,393","0","3,981"
"Everglades NP","EVER","National Park","Southeast ","FL",2017,3,"126,818","820","585,467","820","0","0","1,515","1,723","3,591","0","1,461","Everglades NP","EVER","National Park","Southeast ","FL",2017,"1,018,557","6,766","3,718,824","30,449","0","0","5,238","8,137","17,393","0","3,981"
"Everglades NP","EVER","National Park","Southeast ","FL",2017,4,"98,915","860","359,451","860","0","0","431","238","1,793","0","4","Everglades NP","EVER","National Park","Southeast ","FL",2017,"1,018,557","6,766","3,718,824","30,449","0","0","5,238","8,137","17,393","0","3,981"
"Everglades NP","EVER","National Park","Southeast ","FL",2017,5,"74,300","519","212,761","519","0","0","40","16","710","0","0","Everglades NP","EVER","National Park","Southeast ","FL",2017,"1,018,557","6,766","3,718,824","30,449","0","0","5,238","8,137","17,393","0","3,981"
"Everglades NP","EVER","National Park","Southeast ","FL",2017,6,"68,958","213","222,206","213","0","0","5","0","59","0","0","Everglades NP","EVER","National Park","Southeast ","FL",2017,"1,018,557","6,766","3,718,824","30,449","0","0","5,238","8,137","17,393","0","3,981"
"Everglades NP","EVER","National Park","Southeast ","FL",2017,7,"52,425","588","112,957","588","0","0","0","0","33","0","0","Everglades NP","EVER","National Park","Southeast ","FL",2017,"1,018,557","6,766","3,718,824","30,449","0","0","5,238","8,137","17,393","0","3,981"
"Everglades NP","EVER","National Park","Southeast ","FL",2017,8,"85,059","404","212,617","404","0","0","0","0","45","0","0","Everglades NP","EVER","National Park","Southeast ","FL",2017,"1,018,557","6,766","3,718,824","30,449","0","0","5,238","8,137","17,393","0","3,981"
"Everglades NP","EVER","National Park","Southeast ","FL",2017,9,"17,708","46","54,125","46","0","0","0","0","116","0","0","Everglades NP","EVER","National Park","Southeast ","FL",2017,"1,018,557","6,766","3,718,824","30,449","0","0","5,238","8,137","17,393","0","3,981"
"Everglades NP","EVER","National Park","Southeast ","FL",2017,10,"42,574","1,142","150,998","1,142","0","0","0","0","116","0","0","Everglades NP","EVER","National Park","Southeast ","FL",2017,"1,018,557","6,766","3,718,824","30,449","0","0","5,238","8,137","17,393","0","3,981"
"Everglades NP","EVER","National Park","Southeast ","FL",2017,11,"49,593","130","178,697","130","0","0","0","0","0","0","0","Everglades NP","EVER","National Park","Southeast ","FL",2017,"1,018,557","6,766","3,718,824","30,449","0","0","5,238","8,137","17,393","0","3,981"
"Everglades NP","EVER","National Park","Southeast ","FL",2017,12,"87,361","258","371,289","258","0","0","0","0","1,483","0","0","Everglades NP","EVER","National Park","Southeast ","FL",2017,"1,018,557","6,766","3,718,824","30,449","0","0","5,238","8,137","17,393","0","3,981"
