"year","month","day","time","City","temperature","weather_description","wind_speed","humidity","State","State_ini"
2017,1,1,4,"Miami",72.73,"scattered clouds",3,64,"Florida","FL"
2017,1,1,4,"Jacksonville",56.95,"few clouds",1,93,"Florida","FL"
2017,1,1,4,"Los Angeles",49.62,"mist",2,93,"California","CA"
2017,1,1,4,"San Francisco",44.76,"drizzle",1,93,"California","CA"
2017,1,1,4,"San Diego",54.25,"mist",1,81,"California","CA"
2017,1,1,5,"Denver",21.52,"sky is clear",1,85,"Colorado","CO"
2017,1,1,5,"Miami",72.73,"few clouds",4,64,"Florida","FL"
2017,1,1,5,"Jacksonville",57.9,"scattered clouds",1,82,"Florida","FL"
2017,1,1,5,"Los Angeles",48.9,"mist",2,87,"California","CA"
2017,1,1,5,"San Francisco",44.2,"overcast clouds",3,93,"California","CA"
2017,1,1,5,"San Diego",53.6,"mist",8,76,"California","CA"
2017,1,1,6,"Denver",23.23,"sky is clear",2,73,"Colorado","CO"
2017,1,1,6,"Miami",72.28,"few clouds",4,64,"Florida","FL"
2017,1,1,6,"Jacksonville",55.74,"mist",1,100,"Florida","FL"
2017,1,1,6,"Los Angeles",48.6,"few clouds",1,81,"California","CA"
2017,1,1,6,"San Francisco",43.21,"drizzle",1,93,"California","CA"
2017,1,1,6,"San Diego",52.09,"mist",6,87,"California","CA"
2017,1,1,7,"Denver",20.93,"sky is clear",3,85,"Colorado","CO"
2017,1,1,7,"Miami",72.07,"few clouds",4,64,"Florida","FL"
2017,1,1,7,"Jacksonville",55.44,"mist",1,100,"Florida","FL"
2017,1,1,7,"Los Angeles",47.77,"broken clouds",1,93,"California","CA"
2017,1,1,7,"San Francisco",43.56,"drizzle",2,93,"California","CA"
2017,1,1,7,"San Diego",51.51,"mist",6,81,"California","CA"
2017,1,1,8,"Denver",22.75,"sky is clear",3,73,"Colorado","CO"
2017,1,1,8,"Miami",71.83,"few clouds",3,69,"Florida","FL"
2017,1,1,8,"Jacksonville",56.01,"mist",1,100,"Florida","FL"
2017,1,1,8,"Los Angeles",46.53,"sky is clear",0,87,"California","CA"
2017,1,1,8,"San Francisco",43.86,"light rain",3,93,"California","CA"
2017,1,1,8,"San Diego",50.61,"mist",1,81,"California","CA"
2017,1,1,9,"Denver",20.73,"sky is clear",3,53,"Colorado","CO"
2017,1,1,9,"Miami",71.83,"few clouds",2,69,"Florida","FL"
2017,1,1,9,"Jacksonville",56.59,"mist",1,100,"Florida","FL"
2017,1,1,9,"Los Angeles",45.48,"sky is clear",0,87,"California","CA"
2017,1,1,9,"San Francisco",45.34,"drizzle",4,76,"California","CA"
2017,1,1,9,"San Diego",50,"moderate rain",1,87,"California","CA"
2017,1,1,10,"Denver",21.45,"sky is clear",3,73,"Colorado","CO"
2017,1,1,10,"Miami",70.74,"few clouds",2,73,"Florida","FL"
2017,1,1,10,"Jacksonville",59.61,"mist",1,100,"Florida","FL"
2017,1,1,10,"Los Angeles",45.01,"mist",0,87,"California","CA"
2017,1,1,10,"San Francisco",47.73,"haze",2,93,"California","CA"
2017,1,1,10,"San Diego",48.63,"mist",1,81,"California","CA"
2017,1,1,11,"Denver",21.43,"sky is clear",3,73,"Colorado","CO"
2017,1,1,11,"Miami",70.05,"few clouds",1,69,"Florida","FL"
2017,1,1,11,"Jacksonville",60.48,"broken clouds",3,93,"Florida","FL"
2017,1,1,11,"Los Angeles",43.86,"fog",2,93,"California","CA"
2017,1,1,11,"San Francisco",48.04,"light rain",2,93,"California","CA"
2017,1,1,11,"San Diego",47.53,"broken clouds",0,81,"California","CA"
2017,1,1,12,"Denver",19.38,"light snow",3,43,"Colorado","CO"
2017,1,1,12,"Miami",68.94,"few clouds",4,78,"Florida","FL"
2017,1,1,12,"Jacksonville",61.14,"sky is clear",1,88,"Florida","FL"
2017,1,1,12,"Los Angeles",43.84,"mist",1,93,"California","CA"
2017,1,1,12,"San Francisco",46.87,"moderate rain",2,93,"California","CA"
2017,1,1,12,"San Diego",46.72,"haze",0,87,"California","CA"
2017,1,1,13,"Denver",19.27,"sky is clear",3,92,"Colorado","CO"
2017,1,1,13,"Miami",69.84,"scattered clouds",4,78,"Florida","FL"
2017,1,1,13,"Jacksonville",59.27,"sky is clear",2,93,"Florida","FL"
2017,1,1,13,"Los Angeles",42.96,"mist",0,100,"California","CA"
2017,1,1,13,"San Francisco",44.94,"mist",1,93,"California","CA"
2017,1,1,13,"San Diego",45.75,"fog",0,97,"California","CA"
2017,1,1,14,"Denver",18.25,"light snow",2,92,"Colorado","CO"
2017,1,1,14,"Miami",71.44,"scattered clouds",2,78,"Florida","FL"
2017,1,1,14,"Jacksonville",58.6,"sky is clear",3,77,"Florida","FL"
2017,1,1,14,"Los Angeles",42.64,"fog",0,93,"California","CA"
2017,1,1,14,"San Francisco",44.78,"mist",3,93,"California","CA"
2017,1,1,14,"San Diego",45.19,"haze",1,87,"California","CA"
2017,1,1,15,"Denver",20.52,"few clouds",3,46,"Colorado","CO"
2017,1,1,15,"Miami",76.41,"overcast clouds",4,73,"Florida","FL"
2017,1,1,15,"Jacksonville",64.31,"sky is clear",3,68,"Florida","FL"
2017,1,1,15,"Los Angeles",41.11,"fog",1,93,"California","CA"
2017,1,1,15,"San Francisco",44.87,"fog",6,66,"California","CA"
2017,1,1,15,"San Diego",44.58,"fog",2,87,"California","CA"
2017,1,1,16,"Denver",24.78,"sky is clear",2,92,"Colorado","CO"
2017,1,1,16,"Miami",79.16,"broken clouds",7,61,"Florida","FL"
2017,1,1,16,"Jacksonville",70.39,"sky is clear",4,64,"Florida","FL"
2017,1,1,16,"Los Angeles",41.13,"fog",1,100,"California","CA"
2017,1,1,16,"San Francisco",45.05,"fog",2,87,"California","CA"
2017,1,1,16,"San Diego",44.85,"fog",0,93,"California","CA"
2017,1,1,17,"Denver",32.04,"sky is clear",2,74,"Colorado","CO"
2017,1,1,17,"Miami",80.38,"sky is clear",6,69,"Florida","FL"
2017,1,1,17,"Jacksonville",73.96,"sky is clear",6,54,"Florida","FL"
2017,1,1,17,"Los Angeles",43.3,"fog",1,93,"California","CA"
2017,1,1,17,"San Francisco",44.89,"fog",5,70,"California","CA"
2017,1,1,17,"San Diego",46.65,"fog",1,87,"California","CA"
2017,1,1,18,"Denver",37.76,"sky is clear",1,64,"Colorado","CO"
2017,1,1,18,"Miami",80.19,"broken clouds",8,69,"Florida","FL"
2017,1,1,18,"Jacksonville",74.84,"broken clouds",4,64,"Florida","FL"
2017,1,1,18,"Los Angeles",47.59,"fog",3,81,"California","CA"
2017,1,1,18,"San Francisco",46.53,"fog",3,93,"California","CA"
2017,1,1,18,"San Diego",51.19,"haze",1,76,"California","CA"
2017,1,1,19,"Denver",42.6,"sky is clear",2,48,"Colorado","CO"
2017,1,1,19,"Miami",81.19,"overcast clouds",7,58,"Florida","FL"
2017,1,1,19,"Jacksonville",76.71,"sky is clear",4,57,"Florida","FL"
2017,1,1,19,"Los Angeles",51.53,"fog",3,71,"California","CA"
2017,1,1,19,"San Francisco",48.78,"mist",2,93,"California","CA"
2017,1,1,19,"San Diego",54.36,"scattered clouds",1,58,"California","CA"
2017,1,1,20,"Denver",45.19,"sky is clear",2,38,"Colorado","CO"
2017,1,1,20,"Miami",80.6,"overcast clouds",6,61,"Florida","FL"
2017,1,1,20,"Jacksonville",76.64,"scattered clouds",4,57,"Florida","FL"
2017,1,1,20,"Los Angeles",53.82,"haze",2,66,"California","CA"
2017,1,1,20,"San Francisco",50.29,"mist",3,93,"California","CA"
2017,1,1,20,"San Diego",56.16,"scattered clouds",3,54,"California","CA"
2017,1,1,21,"Denver",46.71,"sky is clear",3,26,"Colorado","CO"
2017,1,1,21,"Miami",80.6,"scattered clouds",6,61,"Florida","FL"
2017,1,1,21,"Jacksonville",77.34,"scattered clouds",6,64,"Florida","FL"
2017,1,1,21,"Los Angeles",55.4,"sky is clear",1,58,"California","CA"
2017,1,1,21,"San Francisco",51.8,"mist",2,93,"California","CA"
2017,1,1,21,"San Diego",57.36,"broken clouds",3,58,"California","CA"
2017,1,1,22,"Denver",44.92,"sky is clear",2,28,"Colorado","CO"
2017,1,1,22,"Miami",78.98,"scattered clouds",7,61,"Florida","FL"
2017,1,1,22,"Jacksonville",76.46,"sky is clear",5,68,"Florida","FL"
2017,1,1,22,"Los Angeles",56.23,"sky is clear",2,58,"California","CA"
2017,1,1,22,"San Francisco",52.48,"overcast clouds",6,93,"California","CA"
2017,1,1,22,"San Diego",57.2,"broken clouds",4,58,"California","CA"
2017,1,1,23,"Denver",43.61,"sky is clear",1,33,"Colorado","CO"
2017,1,1,23,"Miami",78.58,"scattered clouds",5,61,"Florida","FL"
2017,1,1,23,"Jacksonville",74.62,"sky is clear",5,68,"Florida","FL"
2017,1,1,23,"Los Angeles",56.23,"scattered clouds",4,66,"California","CA"
2017,1,1,23,"San Francisco",53.74,"overcast clouds",2,87,"California","CA"
2017,1,1,23,"San Diego",57.87,"broken clouds",3,54,"California","CA"
2017,1,2,0,"Denver",40.73,"sky is clear",1,35,"Colorado","CO"
2017,1,2,0,"Miami",75.87,"sky is clear",4,69,"Florida","FL"
2017,1,2,0,"Jacksonville",69.1,"sky is clear",4,82,"Florida","FL"
2017,1,2,0,"Los Angeles",55.85,"sky is clear",2,62,"California","CA"
2017,1,2,0,"San Francisco",53.2,"light intensity drizzle",1,87,"California","CA"
2017,1,2,0,"San Diego",56.53,"broken clouds",3,58,"California","CA"
2017,1,2,1,"Denver",36.81,"sky is clear",2,47,"Colorado","CO"
2017,1,2,1,"Miami",75.4,"few clouds",4,69,"Florida","FL"
2017,1,2,1,"Jacksonville",68.29,"sky is clear",4,82,"Florida","FL"
2017,1,2,1,"Los Angeles",54.91,"scattered clouds",3,66,"California","CA"
2017,1,2,1,"San Francisco",51.82,"haze",1,93,"California","CA"
2017,1,2,1,"San Diego",56.07,"scattered clouds",2,62,"California","CA"
2017,1,2,2,"Denver",34.34,"sky is clear",2,67,"Colorado","CO"
2017,1,2,2,"Miami",75.61,"broken clouds",3,83,"Florida","FL"
2017,1,2,2,"Jacksonville",69.08,"sky is clear",4,83,"Florida","FL"
2017,1,2,2,"Los Angeles",53.58,"broken clouds",2,66,"California","CA"
2017,1,2,2,"San Francisco",49.17,"light intensity drizzle",2,100,"California","CA"
2017,1,2,2,"San Diego",54.43,"scattered clouds",1,66,"California","CA"
2017,1,2,3,"Denver",32.54,"sky is clear",0,63,"Colorado","CO"
2017,1,2,3,"Miami",75.6,"overcast clouds",5,83,"Florida","FL"
2017,1,2,3,"Jacksonville",68.77,"scattered clouds",4,88,"Florida","FL"
2017,1,2,3,"Los Angeles",52.68,"scattered clouds",1,66,"California","CA"
2017,1,2,3,"San Francisco",46.99,"haze",3,93,"California","CA"
2017,1,2,3,"San Diego",53.11,"broken clouds",2,76,"California","CA"
2017,1,2,4,"Denver",31.03,"sky is clear",0,68,"Colorado","CO"
2017,1,2,4,"Miami",76.41,"scattered clouds",3,100,"Florida","FL"
2017,1,2,4,"Jacksonville",69.06,"sky is clear",5,83,"Florida","FL"
2017,1,2,4,"Los Angeles",51.78,"overcast clouds",1,66,"California","CA"
2017,1,2,4,"San Francisco",46.26,"light rain",4,75,"California","CA"
2017,1,2,4,"San Diego",51.13,"broken clouds",2,71,"California","CA"
2017,1,2,5,"Denver",29.97,"sky is clear",2,73,"Colorado","CO"
2017,1,2,5,"Miami",76.41,"overcast clouds",5,83,"Florida","FL"
2017,1,2,5,"Jacksonville",69.42,"sky is clear",3,83,"Florida","FL"
2017,1,2,5,"Los Angeles",51.33,"broken clouds",1,71,"California","CA"
2017,1,2,5,"San Francisco",46.81,"light rain",2,93,"California","CA"
2017,1,2,5,"San Diego",52.11,"light rain",2,71,"California","CA"
2017,1,2,6,"Denver",29.91,"sky is clear",2,37,"Colorado","CO"
2017,1,2,6,"Miami",76.33,"overcast clouds",5,83,"Florida","FL"
2017,1,2,6,"Jacksonville",68.74,"sky is clear",2,94,"Florida","FL"
2017,1,2,6,"Los Angeles",51.08,"overcast clouds",2,76,"California","CA"
2017,1,2,6,"San Francisco",46.11,"light rain",1,93,"California","CA"
2017,1,2,6,"San Diego",52.7,"broken clouds",1,71,"California","CA"
2017,1,2,7,"Denver",29.71,"sky is clear",2,58,"Colorado","CO"
2017,1,2,7,"Miami",76.53,"broken clouds",5,78,"Florida","FL"
2017,1,2,7,"Jacksonville",69.76,"sky is clear",5,83,"Florida","FL"
2017,1,2,7,"Los Angeles",51.17,"overcast clouds",1,71,"California","CA"
2017,1,2,7,"San Francisco",45.36,"light rain",3,93,"California","CA"
2017,1,2,7,"San Diego",52.72,"broken clouds",1,71,"California","CA"
2017,1,2,8,"Denver",28.47,"sky is clear",2,68,"Colorado","CO"
2017,1,2,8,"Miami",76.53,"scattered clouds",6,78,"Florida","FL"
2017,1,2,8,"Jacksonville",68.04,"overcast clouds",2,100,"Florida","FL"
2017,1,2,8,"Los Angeles",51.17,"overcast clouds",0,76,"California","CA"
2017,1,2,8,"San Francisco",44.58,"overcast clouds",2,93,"California","CA"
2017,1,2,8,"San Diego",52.72,"mist",1,71,"California","CA"
2017,1,2,9,"Denver",26.92,"sky is clear",2,79,"Colorado","CO"
2017,1,2,9,"Miami",76.55,"light rain",5,83,"Florida","FL"
2017,1,2,9,"Jacksonville",67.71,"overcast clouds",3,100,"Florida","FL"
2017,1,2,9,"Los Angeles",50.7,"overcast clouds",0,71,"California","CA"
2017,1,2,9,"San Francisco",43.97,"moderate rain",1,93,"California","CA"
2017,1,2,9,"San Diego",52.72,"mist",1,76,"California","CA"
2017,1,2,10,"Denver",23.74,"sky is clear",4,86,"Colorado","CO"
2017,1,2,10,"Miami",76.33,"broken clouds",4,83,"Florida","FL"
2017,1,2,10,"Jacksonville",67.42,"mist",3,100,"Florida","FL"
2017,1,2,10,"Los Angeles",50.4,"overcast clouds",1,81,"California","CA"
2017,1,2,10,"San Francisco",44.13,"light rain",2,93,"California","CA"
2017,1,2,10,"San Diego",52.56,"mist",1,76,"California","CA"
2017,1,2,11,"Denver",23.23,"mist",3,79,"Colorado","CO"
2017,1,2,11,"Miami",76.33,"broken clouds",5,83,"Florida","FL"
2017,1,2,11,"Jacksonville",66.92,"sky is clear",2,94,"Florida","FL"
2017,1,2,11,"Los Angeles",50.72,"overcast clouds",1,76,"California","CA"
2017,1,2,11,"San Francisco",44.74,"light rain",3,100,"California","CA"
2017,1,2,11,"San Diego",53.29,"mist",1,71,"California","CA"
2017,1,2,12,"Denver",23,"sky is clear",3,86,"Colorado","CO"
2017,1,2,12,"Miami",76.77,"broken clouds",4,78,"Florida","FL"
2017,1,2,12,"Jacksonville",64.44,"fog",2,100,"Florida","FL"
2017,1,2,12,"Los Angeles",49.96,"overcast clouds",1,81,"California","CA"
2017,1,2,12,"San Francisco",44.42,"light rain",3,100,"California","CA"
2017,1,2,12,"San Diego",52.86,"overcast clouds",2,81,"California","CA"
2017,1,2,13,"Denver",23.56,"mist",2,92,"Colorado","CO"
2017,1,2,13,"Miami",76.21,"light rain",4,88,"Florida","FL"
2017,1,2,13,"Jacksonville",63.46,"fog",2,94,"Florida","FL"
2017,1,2,13,"Los Angeles",49.96,"overcast clouds",1,81,"California","CA"
2017,1,2,13,"San Francisco",43.81,"light rain",4,93,"California","CA"
2017,1,2,13,"San Diego",52.25,"mist",1,76,"California","CA"
2017,1,2,14,"Denver",21.87,"sky is clear",4,92,"Colorado","CO"
2017,1,2,14,"Miami",77,"haze",3,83,"Florida","FL"
2017,1,2,14,"Jacksonville",62.28,"mist",2,100,"Florida","FL"
2017,1,2,14,"Los Angeles",50.27,"overcast clouds",2,81,"California","CA"
2017,1,2,14,"San Francisco",44.13,"mist",2,93,"California","CA"
2017,1,2,14,"San Diego",51.31,"mist",1,81,"California","CA"
2017,1,2,15,"Denver",22.41,"mist",4,92,"Colorado","CO"
2017,1,2,15,"Miami",78.96,"broken clouds",7,74,"Florida","FL"
2017,1,2,15,"Jacksonville",68.25,"mist",3,83,"Florida","FL"
2017,1,2,15,"Los Angeles",50.14,"overcast clouds",0,87,"California","CA"
2017,1,2,15,"San Francisco",44.11,"mist",2,93,"California","CA"
2017,1,2,15,"San Diego",51.21,"haze",2,81,"California","CA"
2017,1,2,16,"Denver",29.07,"sky is clear",4,92,"Colorado","CO"
2017,1,2,16,"Miami",80.6,"scattered clouds",10,69,"Florida","FL"
2017,1,2,16,"Jacksonville",73.35,"haze",4,74,"Florida","FL"
2017,1,2,16,"Los Angeles",49.96,"mist",1,76,"California","CA"
2017,1,2,16,"San Francisco",43.61,"proximity shower rain",2,87,"California","CA"
2017,1,2,16,"San Diego",51.94,"mist",1,81,"California","CA"
2017,1,2,17,"Denver",38.34,"sky is clear",4,69,"Colorado","CO"
2017,1,2,17,"Miami",80.6,"broken clouds",10,69,"Florida","FL"
2017,1,2,17,"Jacksonville",76.08,"sky is clear",3,65,"Florida","FL"
2017,1,2,17,"Los Angeles",50.32,"light rain",3,81,"California","CA"
2017,1,2,17,"San Francisco",44.15,"light rain",3,87,"California","CA"
2017,1,2,17,"San Diego",52.77,"mist",1,71,"California","CA"
2017,1,2,18,"Denver",45.3,"broken clouds",4,28,"Colorado","CO"
2017,1,2,18,"Miami",81.27,"light rain",8,74,"Florida","FL"
2017,1,2,18,"Jacksonville",77.61,"scattered clouds",3,65,"Florida","FL"
2017,1,2,18,"Los Angeles",51.33,"broken clouds",4,76,"California","CA"
2017,1,2,18,"San Francisco",45.32,"light intensity drizzle",3,87,"California","CA"
2017,1,2,18,"San Diego",53.17,"mist",1,71,"California","CA"
2017,1,2,19,"Denver",49.66,"scattered clouds",4,21,"Colorado","CO"
2017,1,2,19,"Miami",81.79,"broken clouds",6,65,"Florida","FL"
2017,1,2,19,"Jacksonville",78.76,"sky is clear",4,69,"Florida","FL"
2017,1,2,19,"Los Angeles",52.57,"overcast clouds",1,71,"California","CA"
2017,1,2,19,"San Francisco",47.12,"light rain",5,93,"California","CA"
2017,1,2,19,"San Diego",55.98,"mist",1,62,"California","CA"
2017,1,2,20,"Denver",43.16,"sky is clear",6,59,"Colorado","CO"
2017,1,2,20,"Miami",81.05,"broken clouds",6,69,"Florida","FL"
2017,1,2,20,"Jacksonville",78.17,"scattered clouds",5,74,"Florida","FL"
2017,1,2,20,"Los Angeles",52.81,"overcast clouds",3,76,"California","CA"
2017,1,2,20,"San Francisco",49.41,"light rain",3,82,"California","CA"
2017,1,2,20,"San Diego",57.34,"overcast clouds",1,62,"California","CA"
2017,1,2,21,"Denver",38.12,"scattered clouds",3,51,"Colorado","CO"
2017,1,2,21,"Miami",80.82,"broken clouds",6,69,"Florida","FL"
2017,1,2,21,"Jacksonville",77.92,"sky is clear",5,78,"Florida","FL"
2017,1,2,21,"Los Angeles",53.58,"overcast clouds",2,76,"California","CA"
2017,1,2,21,"San Francisco",51.1,"scattered clouds",3,82,"California","CA"
2017,1,2,21,"San Diego",57.18,"overcast clouds",2,67,"California","CA"
2017,1,2,22,"Denver",37.33,"sky is clear",3,44,"Colorado","CO"
2017,1,2,22,"Miami",80.38,"broken clouds",5,69,"Florida","FL"
2017,1,2,22,"Jacksonville",77.61,"sky is clear",4,83,"Florida","FL"
2017,1,2,22,"Los Angeles",54.43,"overcast clouds",2,71,"California","CA"
2017,1,2,22,"San Francisco",51.08,"sky is clear",3,82,"California","CA"
2017,1,2,22,"San Diego",57.06,"overcast clouds",1,71,"California","CA"
2017,1,2,23,"Denver",34.65,"sky is clear",5,55,"Colorado","CO"
2017,1,2,23,"Miami",79,"light rain",4,78,"Florida","FL"
2017,1,2,23,"Jacksonville",75.52,"sky is clear",6,94,"Florida","FL"
2017,1,2,23,"Los Angeles",54.66,"scattered clouds",1,62,"California","CA"
2017,1,2,23,"San Francisco",51.22,"light rain",4,82,"California","CA"
2017,1,2,23,"San Diego",57.92,"overcast clouds",2,67,"California","CA"
2017,1,3,0,"Denver",31.05,"sky is clear",4,22,"Colorado","CO"
2017,1,3,0,"Miami",77.9,"light rain",4,78,"Florida","FL"
2017,1,3,0,"Jacksonville",72.5,"sky is clear",6,94,"Florida","FL"
2017,1,3,0,"Los Angeles",54.61,"broken clouds",1,66,"California","CA"
2017,1,3,0,"San Francisco",51.22,"sky is clear",4,77,"California","CA"
2017,1,3,0,"San Diego",57.38,"broken clouds",1,71,"California","CA"
2017,1,3,1,"Denver",28.35,"scattered clouds",3,74,"Colorado","CO"
2017,1,3,1,"Miami",76.62,"light rain",3,88,"Florida","FL"
2017,1,3,1,"Jacksonville",71.01,"sky is clear",5,94,"Florida","FL"
2017,1,3,1,"Los Angeles",54.19,"scattered clouds",1,62,"California","CA"
2017,1,3,1,"San Francisco",50.54,"light rain",7,82,"California","CA"
2017,1,3,1,"San Diego",56.91,"broken clouds",1,71,"California","CA"
2017,1,3,2,"Denver",26.82,"broken clouds",3,85,"Colorado","CO"
2017,1,3,2,"Miami",76.8,"broken clouds",5,78,"Florida","FL"
2017,1,3,2,"Jacksonville",70.72,"sky is clear",4,100,"Florida","FL"
2017,1,3,2,"Los Angeles",52.86,"broken clouds",2,76,"California","CA"
2017,1,3,2,"San Francisco",49.59,"moderate rain",3,87,"California","CA"
2017,1,3,2,"San Diego",56.84,"broken clouds",1,71,"California","CA"
2017,1,3,3,"Denver",26.33,"light snow",6,85,"Colorado","CO"
2017,1,3,3,"Miami",76.8,"scattered clouds",5,78,"Florida","FL"
2017,1,3,3,"Jacksonville",70.7,"scattered clouds",2,100,"Florida","FL"
2017,1,3,3,"Los Angeles",52.39,"broken clouds",0,71,"California","CA"
2017,1,3,3,"San Francisco",48.61,"light rain",3,87,"California","CA"
2017,1,3,3,"San Diego",55.24,"broken clouds",1,76,"California","CA"
2017,1,3,4,"Denver",23.77,"overcast clouds",4,85,"Colorado","CO"
2017,1,3,4,"Miami",77.02,"broken clouds",4,100,"Florida","FL"
2017,1,3,4,"Jacksonville",70.11,"broken clouds",2,94,"Florida","FL"
2017,1,3,4,"Los Angeles",51.78,"scattered clouds",1,76,"California","CA"
2017,1,3,4,"San Francisco",48.18,"overcast clouds",4,82,"California","CA"
2017,1,3,4,"San Diego",53.24,"broken clouds",1,76,"California","CA"
2017,1,3,5,"Denver",20.97,"overcast clouds",3,79,"Colorado","CO"
2017,1,3,5,"Miami",77.22,"broken clouds",3,100,"Florida","FL"
2017,1,3,5,"Jacksonville",70.7,"mist",3,94,"Florida","FL"
2017,1,3,5,"Los Angeles",50.43,"broken clouds",1,76,"California","CA"
2017,1,3,5,"San Francisco",47.62,"light rain",4,87,"California","CA"
2017,1,3,5,"San Diego",51.93,"broken clouds",2,100,"California","CA"
2017,1,3,6,"Denver",18.88,"overcast clouds",3,92,"Colorado","CO"
2017,1,3,6,"Miami",77,"scattered clouds",5,78,"Florida","FL"
2017,1,3,6,"Jacksonville",71.01,"broken clouds",2,100,"Florida","FL"
2017,1,3,6,"Los Angeles",50.52,"overcast clouds",1,76,"California","CA"
2017,1,3,6,"San Francisco",47.62,"mist",4,82,"California","CA"
2017,1,3,6,"San Diego",51.35,"scattered clouds",1,87,"California","CA"
2017,1,3,7,"Denver",17.85,"overcast clouds",2,85,"Colorado","CO"
2017,1,3,7,"Miami",77.02,"broken clouds",6,88,"Florida","FL"
2017,1,3,7,"Jacksonville",70.12,"overcast clouds",3,100,"Florida","FL"
2017,1,3,7,"Los Angeles",50.72,"sky is clear",1,81,"California","CA"
2017,1,3,7,"San Francisco",47.28,"light rain",3,82,"California","CA"
2017,1,3,7,"San Diego",51.62,"broken clouds",1,76,"California","CA"
2017,1,3,8,"Denver",17.33,"overcast clouds",3,78,"Colorado","CO"
2017,1,3,8,"Miami",76.77,"scattered clouds",6,83,"Florida","FL"
2017,1,3,8,"Jacksonville",70.11,"overcast clouds",3,100,"Florida","FL"
2017,1,3,8,"Los Angeles",49.53,"scattered clouds",1,81,"California","CA"
2017,1,3,8,"San Francisco",47.14,"mist",4,87,"California","CA"
2017,1,3,8,"San Diego",51.22,"scattered clouds",1,76,"California","CA"
2017,1,3,9,"Denver",16.03,"light snow",3,85,"Colorado","CO"
2017,1,3,9,"Miami",76.73,"few clouds",5,78,"Florida","FL"
2017,1,3,9,"Jacksonville",70.5,"mist",3,94,"Florida","FL"
2017,1,3,9,"Los Angeles",49.23,"scattered clouds",1,87,"California","CA"
2017,1,3,9,"San Francisco",47.59,"mist",4,87,"California","CA"
2017,1,3,9,"San Diego",51.3,"mist",1,81,"California","CA"
2017,1,3,10,"Denver",14.47,"light snow",2,85,"Colorado","CO"
2017,1,3,10,"Miami",76.55,"few clouds",4,88,"Florida","FL"
2017,1,3,10,"Jacksonville",70.52,"mist",2,94,"Florida","FL"
2017,1,3,10,"Los Angeles",48.33,"mist",1,87,"California","CA"
2017,1,3,10,"San Francisco",47.59,"mist",4,87,"California","CA"
2017,1,3,10,"San Diego",51.15,"mist",1,93,"California","CA"
2017,1,3,11,"Denver",13.77,"light snow",1,85,"Colorado","CO"
2017,1,3,11,"Miami",76.1,"broken clouds",2,88,"Florida","FL"
2017,1,3,11,"Jacksonville",67.46,"moderate rain",3,100,"Florida","FL"
2017,1,3,11,"Los Angeles",47.73,"mist",1,93,"California","CA"
2017,1,3,11,"San Francisco",47.57,"mist",3,87,"California","CA"
2017,1,3,11,"San Diego",50.47,"mist",1,81,"California","CA"
2017,1,3,12,"Denver",13.77,"light snow",3,92,"Colorado","CO"
2017,1,3,12,"Miami",75.45,"few clouds",2,88,"Florida","FL"
2017,1,3,12,"Jacksonville",66.51,"moderate rain",4,100,"Florida","FL"
2017,1,3,12,"Los Angeles",47.43,"mist",1,87,"California","CA"
2017,1,3,12,"San Francisco",47.71,"light rain",2,100,"California","CA"
2017,1,3,12,"San Diego",48.81,"few clouds",1,81,"California","CA"
